1 терм,06.09.2021 - 31.10.2021,8
2 терм,08.11.2021 - 01.01.2022,8
3 терм,10.01.2022 - 03.04.2022,12
4 терм,04.04.2022 - 29.05.2022,8
5 терм,06.06.2022 - 31.07.2022,8
6 терм,19.09.2022 - 13.11.2022,8
7 терм,21.11.2022 - 29.01.2023,10
8 терм,06.02.2023 - 16.04.2023,10
9 терм,24.04.2023 - 30.07.2023,14
10 терм,04.09.2023 - 24.12.2023,16
11 терм,08.01.2024 - 21.04.2024,15
12 терм,06.05.2024 - 28.07.2024,12
13 терм,02.09.2024 - 22.12.2024,16
14 терм,06.01.2025 - 20.04.2025,15
15 терм,05.05.2025 - 30.06.2025,8